,idd,date1,country,cases
301,301,2020-01-26,Andorra,0
302,302,2020-01-27,Andorra,0
303,303,2020-01-28,Andorra,0
304,304,2020-01-29,Andorra,0
305,305,2020-01-30,Andorra,0
306,306,2020-01-31,Andorra,0
307,307,2020-02-01,Andorra,0
308,308,2020-02-02,Andorra,0
309,309,2020-02-03,Andorra,0
310,310,2020-02-04,Andorra,0
311,311,2020-02-05,Andorra,0
312,312,2020-02-06,Andorra,0
313,313,2020-02-07,Andorra,0
314,314,2020-02-08,Andorra,0
315,315,2020-02-09,Andorra,0
316,316,2020-02-10,Andorra,0
317,317,2020-02-11,Andorra,0
318,318,2020-02-12,Andorra,0
319,319,2020-02-13,Andorra,0
320,320,2020-02-14,Andorra,0
321,321,2020-02-15,Andorra,0
322,322,2020-02-16,Andorra,0
323,323,2020-02-17,Andorra,0
324,324,2020-02-18,Andorra,0
325,325,2020-02-19,Andorra,0
326,326,2020-02-20,Andorra,0
327,327,2020-02-21,Andorra,0
328,328,2020-02-22,Andorra,0
329,329,2020-02-23,Andorra,0
330,330,2020-02-24,Andorra,0
331,331,2020-02-25,Andorra,0
332,332,2020-02-26,Andorra,0
333,333,2020-02-27,Andorra,0
334,334,2020-02-28,Andorra,0
335,335,2020-02-29,Andorra,0
336,336,2020-03-01,Andorra,0
337,337,2020-03-02,Andorra,1
338,338,2020-03-03,Andorra,1
339,339,2020-03-04,Andorra,1
340,340,2020-03-05,Andorra,1
341,341,2020-03-06,Andorra,1
342,342,2020-03-07,Andorra,1
343,343,2020-03-08,Andorra,1
344,344,2020-03-09,Andorra,1
345,345,2020-03-10,Andorra,1
346,346,2020-03-11,Andorra,1
347,347,2020-03-12,Andorra,1
348,348,2020-03-13,Andorra,1
349,349,2020-03-14,Andorra,1
350,350,2020-03-15,Andorra,1
351,351,2020-03-16,Andorra,2
352,352,2020-03-17,Andorra,39
353,353,2020-03-18,Andorra,39
354,354,2020-03-19,Andorra,53
355,355,2020-03-20,Andorra,75
356,356,2020-03-21,Andorra,88
357,357,2020-03-22,Andorra,113
358,358,2020-03-23,Andorra,133
359,359,2020-03-24,Andorra,164
360,360,2020-03-25,Andorra,188
361,361,2020-03-26,Andorra,224
362,362,2020-03-27,Andorra,267
363,363,2020-03-28,Andorra,308
364,364,2020-03-29,Andorra,334
365,365,2020-03-30,Andorra,370
366,366,2020-03-31,Andorra,376
367,367,2020-04-01,Andorra,390
368,368,2020-04-02,Andorra,428
369,369,2020-04-03,Andorra,439
370,370,2020-04-04,Andorra,466
371,371,2020-04-05,Andorra,501
372,372,2020-04-06,Andorra,525
373,373,2020-04-07,Andorra,545
374,374,2020-04-08,Andorra,564
375,375,2020-04-09,Andorra,583
376,376,2020-04-10,Andorra,601
377,377,2020-04-11,Andorra,601
378,378,2020-04-12,Andorra,638
379,379,2020-04-13,Andorra,646
380,380,2020-04-14,Andorra,659
381,381,2020-04-15,Andorra,673
382,382,2020-04-16,Andorra,673
383,383,2020-04-17,Andorra,696
384,384,2020-04-18,Andorra,704
385,385,2020-04-19,Andorra,713
386,386,2020-04-20,Andorra,717
387,387,2020-04-21,Andorra,717
388,388,2020-04-22,Andorra,723
389,389,2020-04-23,Andorra,723
390,390,2020-04-24,Andorra,731
391,391,2020-04-25,Andorra,738
392,392,2020-04-26,Andorra,738
393,393,2020-04-27,Andorra,743
394,394,2020-04-28,Andorra,743
395,395,2020-04-29,Andorra,743
396,396,2020-01-22,Angola,0
397,397,2020-01-23,Angola,0
398,398,2020-01-24,Angola,0
399,399,2020-01-25,Angola,0
400,400,2020-01-26,Angola,0
401,401,2020-01-27,Angola,0
402,402,2020-01-28,Angola,0
403,403,2020-01-29,Angola,0
404,404,2020-01-30,Angola,0
405,405,2020-01-31,Angola,0
406,406,2020-02-01,Angola,0
407,407,2020-02-02,Angola,0
408,408,2020-02-03,Angola,0
409,409,2020-02-04,Angola,0
410,410,2020-02-05,Angola,0
411,411,2020-02-06,Angola,0
412,412,2020-02-07,Angola,0
413,413,2020-02-08,Angola,0
414,414,2020-02-09,Angola,0
415,415,2020-02-10,Angola,0
416,416,2020-02-11,Angola,0
417,417,2020-02-12,Angola,0
418,418,2020-02-13,Angola,0
419,419,2020-02-14,Angola,0
420,420,2020-02-15,Angola,0
421,421,2020-02-16,Angola,0
422,422,2020-02-17,Angola,0
423,423,2020-02-18,Angola,0
424,424,2020-02-19,Angola,0
425,425,2020-02-20,Angola,0
426,426,2020-02-21,Angola,0
427,427,2020-02-22,Angola,0
428,428,2020-02-23,Angola,0
429,429,2020-02-24,Angola,0
430,430,2020-02-25,Angola,0
431,431,2020-02-26,Angola,0
432,432,2020-02-27,Angola,0
433,433,2020-02-28,Angola,0
434,434,2020-02-29,Angola,0
435,435,2020-03-01,Angola,0
436,436,2020-03-02,Angola,0
437,437,2020-03-03,Angola,0
438,438,2020-03-04,Angola,0
439,439,2020-03-05,Angola,0
440,440,2020-03-06,Angola,0
441,441,2020-03-07,Angola,0
442,442,2020-03-08,Angola,0
443,443,2020-03-09,Angola,0
444,444,2020-03-10,Angola,0
445,445,2020-03-11,Angola,0
446,446,2020-03-12,Angola,0
447,447,2020-03-13,Angola,0
448,448,2020-03-14,Angola,0
449,449,2020-03-15,Angola,0
450,450,2020-03-16,Angola,0
451,451,2020-03-17,Angola,0
452,452,2020-03-18,Angola,0
453,453,2020-03-19,Angola,0
454,454,2020-03-20,Angola,1
455,455,2020-03-21,Angola,2
456,456,2020-03-22,Angola,2
457,457,2020-03-23,Angola,3
458,458,2020-03-24,Angola,3
459,459,2020-03-25,Angola,3
460,460,2020-03-26,Angola,4
461,461,2020-03-27,Angola,4
462,462,2020-03-28,Angola,5
463,463,2020-03-29,Angola,7
