,date1,country,cases
740,3/9/20,Armenia,1
741,3/10/20,Armenia,1
742,3/11/20,Armenia,1
743,3/12/20,Armenia,4
744,3/13/20,Armenia,8
745,3/14/20,Armenia,18
746,3/15/20,Armenia,26
747,3/16/20,Armenia,52
748,3/17/20,Armenia,78
749,3/18/20,Armenia,84
750,3/19/20,Armenia,115
751,3/20/20,Armenia,136
752,3/21/20,Armenia,160
753,3/22/20,Armenia,194
754,3/23/20,Armenia,235
755,3/24/20,Armenia,249
756,3/25/20,Armenia,265
757,3/26/20,Armenia,290
758,3/27/20,Armenia,329
759,3/28/20,Armenia,407
760,3/29/20,Armenia,424
761,3/30/20,Armenia,482
762,3/31/20,Armenia,532
763,4/1/20,Armenia,571
764,4/2/20,Armenia,663
765,4/3/20,Armenia,736
766,4/4/20,Armenia,770
767,4/5/20,Armenia,822
768,4/6/20,Armenia,833
769,4/7/20,Armenia,853
770,4/8/20,Armenia,881
771,4/9/20,Armenia,921
772,4/10/20,Armenia,937
773,4/11/20,Armenia,967
774,4/12/20,Armenia,1013
775,4/13/20,Armenia,1039
776,4/14/20,Armenia,1067
777,4/15/20,Armenia,1111
778,4/16/20,Armenia,1159
779,4/17/20,Armenia,1201
780,4/18/20,Armenia,1248
781,4/19/20,Armenia,1291
782,4/20/20,Armenia,1339
783,4/21/20,Armenia,1401
784,4/22/20,Armenia,1473
785,4/23/20,Armenia,1523
786,4/24/20,Armenia,1596
787,4/25/20,Armenia,1677
788,4/26/20,Armenia,1746
789,4/27/20,Armenia,1808
790,4/28/20,Armenia,1867
791,4/29/20,Armenia,1932
792,1/22/20,Australia,0
793,1/23/20,Australia,0
794,1/24/20,Australia,0
795,1/25/20,Australia,0
796,1/26/20,Australia,0
797,1/27/20,Australia,0
798,1/28/20,Australia,0
799,1/29/20,Australia,0
800,1/30/20,Australia,0
801,1/31/20,Australia,0
802,2/1/20,Australia,0
803,2/2/20,Australia,0
804,2/3/20,Australia,0
805,2/4/20,Australia,0
806,2/5/20,Australia,0
807,2/6/20,Australia,0
808,2/7/20,Australia,0
809,2/8/20,Australia,0
810,2/9/20,Australia,0
811,2/10/20,Australia,0
812,2/11/20,Australia,0
813,2/12/20,Australia,0
814,2/13/20,Australia,0
815,2/14/20,Australia,0
816,2/15/20,Australia,0
817,2/16/20,Australia,0
818,2/17/20,Australia,0
819,2/18/20,Australia,0
820,2/19/20,Australia,0
821,2/20/20,Australia,0
822,2/21/20,Australia,0
823,2/22/20,Australia,0
824,2/23/20,Australia,0
825,2/24/20,Australia,0
826,2/25/20,Australia,0
827,2/26/20,Australia,0
828,2/27/20,Australia,0
829,2/28/20,Australia,0
830,2/29/20,Australia,0
831,3/1/20,Australia,0
832,3/2/20,Australia,0
833,3/3/20,Australia,0
834,3/4/20,Australia,0
835,3/5/20,Australia,0
836,3/6/20,Australia,0
837,3/7/20,Australia,0
838,3/8/20,Australia,0
839,3/9/20,Australia,0
840,3/10/20,Australia,0
841,3/11/20,Australia,0
842,3/12/20,Australia,0
843,3/13/20,Australia,1
844,3/14/20,Australia,1
845,3/15/20,Australia,1
846,3/16/20,Australia,2
847,3/17/20,Australia,2
848,3/18/20,Australia,3
849,3/19/20,Australia,4
850,3/20/20,Australia,6
851,3/21/20,Australia,9
852,3/22/20,Australia,19
853,3/23/20,Australia,32
854,3/24/20,Australia,39
855,3/25/20,Australia,39
856,3/26/20,Australia,53
857,3/27/20,Australia,62
858,3/28/20,Australia,71
859,3/29/20,Australia,77
860,3/30/20,Australia,78
861,3/31/20,Australia,80
862,4/1/20,Australia,84
863,4/2/20,Australia,87
864,4/3/20,Australia,91
865,4/4/20,Australia,93
866,4/5/20,Australia,96
867,4/6/20,Australia,96
868,4/7/20,Australia,96
869,4/8/20,Australia,99
870,4/9/20,Australia,100
871,4/10/20,Australia,103
872,4/11/20,Australia,103
873,4/12/20,Australia,103
874,4/13/20,Australia,102
875,4/14/20,Australia,103
876,4/15/20,Australia,103
877,4/16/20,Australia,103
878,4/17/20,Australia,103
879,4/18/20,Australia,103
880,4/19/20,Australia,103
881,4/20/20,Australia,104
882,4/21/20,Australia,104
883,4/22/20,Australia,104
884,4/23/20,Australia,104
885,4/24/20,Australia,105
886,4/25/20,Australia,106
887,4/26/20,Australia,106
888,4/27/20,Australia,106
889,4/28/20,Australia,106
890,4/29/20,Australia,106
891,1/22/20,Australia,0
